ESTAR: Stopping Powers and Range Tables for Electrons

HELIUM                                                                    

Kinetic   CSDA      
Energy    Range     
MeV       g/cm2     

1.000E-02 2.467E-04 
1.250E-02 3.678E-04 
1.500E-02 5.098E-04 
1.750E-02 6.721E-04 
2.000E-02 8.537E-04 
2.500E-02 1.273E-03 
3.000E-02 1.764E-03 
3.500E-02 2.322E-03 
4.000E-02 2.945E-03 
4.500E-02 3.630E-03 
5.000E-02 4.374E-03 
5.500E-02 5.174E-03 
6.000E-02 6.029E-03 
7.000E-02 7.896E-03 
8.000E-02 9.958E-03 
9.000E-02 1.220E-02 
1.000E-01 1.462E-02 
1.250E-01 2.134E-02 
1.500E-01 2.891E-02 
1.750E-01 3.723E-02 
2.000E-01 4.619E-02 
2.500E-01 6.574E-02 
3.000E-01 8.702E-02 
3.500E-01 1.097E-01 
4.000E-01 1.334E-01 
4.500E-01 1.580E-01 
5.000E-01 1.833E-01 
5.500E-01 2.092E-01 
6.000E-01 2.355E-01 
7.000E-01 2.891E-01 
8.000E-01 3.437E-01 
9.000E-01 3.990E-01 
1.000E+00 4.547E-01 
1.250E+00 5.948E-01 
1.500E+00 7.349E-01 
1.750E+00 8.744E-01 
2.000E+00 1.013E+00 
2.500E+00 1.287E+00 
3.000E+00 1.557E+00 
3.500E+00 1.822E+00 
4.000E+00 2.084E+00 
4.500E+00 2.342E+00 
5.000E+00 2.597E+00 
5.500E+00 2.848E+00 
6.000E+00 3.098E+00 
7.000E+00 3.588E+00 
8.000E+00 4.070E+00 
9.000E+00 4.544E+00 
1.000E+01 5.011E+00 
1.250E+01 6.151E+00 
1.500E+01 7.258E+00 
1.750E+01 8.337E+00 
2.000E+01 9.391E+00 
2.500E+01 1.144E+01 
3.000E+01 1.341E+01 
3.500E+01 1.531E+01 
4.000E+01 1.717E+01 
4.500E+01 1.897E+01 
5.000E+01 2.072E+01 
5.500E+01 2.243E+01 
6.000E+01 2.410E+01 
7.000E+01 2.734E+01 
8.000E+01 3.044E+01 
9.000E+01 3.343E+01 
1.000E+02 3.631E+01 
1.250E+02 4.311E+01 
1.500E+02 4.943E+01 
1.750E+02 5.534E+01 
2.000E+02 6.090E+01 
2.500E+02 7.110E+01 
3.000E+02 8.030E+01 
3.500E+02 8.868E+01 
4.000E+02 9.637E+01 
4.500E+02 1.035E+02 
5.000E+02 1.101E+02 
5.500E+02 1.163E+02 
6.000E+02 1.221E+02 
7.000E+02 1.327E+02 
8.000E+02 1.422E+02 
9.000E+02 1.509E+02 
1.000E+03 1.588E+02 
