# LS220 with Mdot = 1e-6
# eps       mAp [MeV]   r [cm]      t_stop [s]  efficiency
1.50000e-14 1.07150e+00 5.00000e+13 1.47754e+03 1.19287e-02
1.50000e-14 1.07150e+00 5.80493e+13 1.71541e+03 1.02746e-02
1.50000e-14 1.07150e+00 6.73944e+13 1.99156e+03 8.84990e-03
1.50000e-14 1.07150e+00 7.82440e+13 2.31218e+03 7.62274e-03
1.50000e-14 1.07150e+00 9.08402e+13 2.68440e+03 6.56575e-03
1.50000e-14 1.07150e+00 1.05464e+14 3.11656e+03 5.65532e-03
1.50000e-14 1.07150e+00 1.22443e+14 3.61828e+03 4.87113e-03
1.50000e-14 1.07150e+00 1.42154e+14 4.20077e+03 4.19569e-03
1.50000e-14 1.07150e+00 1.65039e+14 4.87704e+03 3.61390e-03
1.50000e-14 1.07150e+00 1.91608e+14 5.66217e+03 3.11278e-03
1.50000e-14 1.07150e+00 2.22454e+14 6.57371e+03 2.68115e-03
1.50000e-14 1.07150e+00 2.58266e+14 7.63198e+03 2.30938e-03
1.50000e-14 1.07150e+00 2.99844e+14 8.86063e+03 1.98915e-03
1.50000e-14 1.07150e+00 3.48114e+14 1.02871e+04 1.71333e-03
1.50000e-14 1.07150e+00 4.04156e+14 1.19431e+04 1.47575e-03
1.50000e-14 1.07150e+00 4.69219e+14 1.38658e+04 1.27112e-03
1.50000e-14 1.07150e+00 5.44757e+14 1.60980e+04 1.09486e-03
1.50000e-14 1.07150e+00 6.32456e+14 1.86896e+04 9.43045e-04
1.50000e-14 1.07150e+00 7.34272e+14 2.16984e+04 8.12279e-04
1.50000e-14 1.07150e+00 8.52480e+14 2.51915e+04 6.99646e-04
1.50000e-14 1.07150e+00 9.89717e+14 2.92470e+04 6.02631e-04
1.50000e-14 1.07150e+00 1.14905e+15 3.39553e+04 5.19068e-04
1.50000e-14 1.07150e+00 1.33403e+15 3.94217e+04 4.47092e-04
1.50000e-14 1.07150e+00 1.54879e+15 4.57680e+04 3.85097e-04
1.50000e-14 1.07150e+00 1.79812e+15 5.31360e+04 3.31698e-04
1.50000e-14 1.07150e+00 2.08760e+15 6.16902e+04 2.85704e-04
1.50000e-14 1.07150e+00 2.42367e+15 7.16215e+04 2.46087e-04
1.50000e-14 1.07150e+00 2.81385e+15 8.31515e+04 2.11964e-04
1.50000e-14 1.07150e+00 3.26684e+15 9.65376e+04 1.82571e-04
1.50000e-14 1.07150e+00 3.79275e+15 1.12079e+05 1.57254e-04
1.50000e-14 1.07150e+00 4.40334e+15 1.30122e+05 1.35447e-04
1.50000e-14 1.07150e+00 5.11221e+15 1.51069e+05 1.16666e-04
1.50000e-14 1.07150e+00 5.93521e+15 1.75389e+05 1.00489e-04
1.50000e-14 1.07150e+00 6.89069e+15 2.03625e+05 8.65545e-05
1.50000e-14 1.07150e+00 8.00000e+15 2.36405e+05 7.45525e-05
1.50000e-14 1.21474e+00 5.00000e+13 1.47914e+03 1.17390e-02
1.50000e-14 1.21474e+00 5.80493e+13 1.71726e+03 1.01113e-02
1.50000e-14 1.21474e+00 6.73944e+13 1.99371e+03 8.70920e-03
1.50000e-14 1.21474e+00 7.82440e+13 2.31467e+03 7.50155e-03
1.50000e-14 1.21474e+00 9.08402e+13 2.68730e+03 6.46136e-03
1.50000e-14 1.21474e+00 1.05464e+14 3.11992e+03 5.56541e-03
1.50000e-14 1.21474e+00 1.22443e+14 3.62219e+03 4.79369e-03
1.50000e-14 1.21474e+00 1.42154e+14 4.20531e+03 4.12898e-03
1.50000e-14 1.21474e+00 1.65039e+14 4.88231e+03 3.55644e-03
1.50000e-14 1.21474e+00 1.91608e+14 5.66829e+03 3.06330e-03
1.50000e-14 1.21474e+00 2.22454e+14 6.58081e+03 2.63853e-03
1.50000e-14 1.21474e+00 2.58266e+14 7.64022e+03 2.27266e-03
1.50000e-14 1.21474e+00 2.99844e+14 8.87020e+03 1.95753e-03
1.50000e-14 1.21474e+00 3.48114e+14 1.02982e+04 1.68609e-03
1.50000e-14 1.21474e+00 4.04156e+14 1.19560e+04 1.45229e-03
1.50000e-14 1.21474e+00 4.69219e+14 1.38808e+04 1.25091e-03
1.50000e-14 1.21474e+00 5.44757e+14 1.61154e+04 1.07745e-03
1.50000e-14 1.21474e+00 6.32456e+14 1.87097e+04 9.28050e-04
1.50000e-14 1.21474e+00 7.34272e+14 2.17217e+04 7.99363e-04
1.50000e-14 1.21474e+00 8.52480e+14 2.52186e+04 6.88521e-04
1.50000e-14 1.21474e+00 9.89717e+14 2.92785e+04 5.93048e-04
1.50000e-14 1.21474e+00 1.14905e+15 3.39919e+04 5.10814e-04
1.50000e-14 1.21474e+00 1.33403e+15 3.94642e+04 4.39982e-04
