# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
0.00000e+00 1.20000e+01 -3.00000e+02
0.00000e+00 1.22000e+01 -3.00000e+02
0.00000e+00 1.24000e+01 -3.00000e+02
0.00000e+00 1.26000e+01 -3.00000e+02
0.00000e+00 1.28000e+01 -3.00000e+02
0.00000e+00 1.30000e+01 -3.00000e+02
0.00000e+00 1.32000e+01 -3.00000e+02
0.00000e+00 1.34000e+01 -3.00000e+02
0.00000e+00 1.36000e+01 -3.00000e+02
0.00000e+00 1.38000e+01 -3.00000e+02
0.00000e+00 1.40000e+01 -3.00000e+02
0.00000e+00 1.42000e+01 -3.00000e+02
0.00000e+00 1.44000e+01 -3.00000e+02
0.00000e+00 1.46000e+01 -3.00000e+02
0.00000e+00 1.48000e+01 -3.00000e+02
0.00000e+00 1.50000e+01 -3.00000e+02
0.00000e+00 1.52000e+01 -3.00000e+02
0.00000e+00 1.54000e+01 -3.00000e+02
0.00000e+00 1.56000e+01 -3.00000e+02
0.00000e+00 1.58000e+01 -3.00000e+02
0.00000e+00 1.60000e+01 -3.00000e+02
0.00000e+00 1.62000e+01 -3.00000e+02
0.00000e+00 1.64000e+01 -3.00000e+02
0.00000e+00 1.66000e+01 -3.00000e+02
0.00000e+00 1.68000e+01 -3.00000e+02
0.00000e+00 1.70000e+01 -3.00000e+02
0.00000e+00 1.72000e+01 -3.00000e+02
0.00000e+00 1.74000e+01 -3.00000e+02
0.00000e+00 1.76000e+01 -3.00000e+02
0.00000e+00 1.78000e+01 -3.00000e+02
0.00000e+00 1.80000e+01 -3.00000e+02
0.00000e+00 1.82000e+01 -3.00000e+02
0.00000e+00 1.84000e+01 -3.00000e+02
0.00000e+00 1.86000e+01 -3.00000e+02
0.00000e+00 1.88000e+01 -3.00000e+02
0.00000e+00 1.90000e+01 -3.00000e+02
0.00000e+00 1.92000e+01 -3.00000e+02
0.00000e+00 1.94000e+01 -3.00000e+02
0.00000e+00 1.96000e+01 -3.00000e+02
0.00000e+00 1.98000e+01 -3.00000e+02
0.00000e+00 2.00000e+01 -3.00000e+02
2.99922e-02 1.20000e+01 2.50384e+01
2.99922e-02 1.22000e+01 2.50384e+01
2.99922e-02 1.24000e+01 2.50384e+01
2.99922e-02 1.26000e+01 2.50384e+01
2.99922e-02 1.28000e+01 2.50384e+01
2.99922e-02 1.30000e+01 2.50384e+01
2.99922e-02 1.32000e+01 2.50384e+01
2.99922e-02 1.34000e+01 2.50384e+01
2.99922e-02 1.36000e+01 2.50384e+01
2.99922e-02 1.38000e+01 2.50384e+01
2.99922e-02 1.40000e+01 2.50384e+01
2.99922e-02 1.42000e+01 2.50384e+01
2.99922e-02 1.44000e+01 2.50384e+01
2.99922e-02 1.46000e+01 2.50384e+01
2.99922e-02 1.48000e+01 2.50384e+01
2.99922e-02 1.50000e+01 2.50383e+01
2.99922e-02 1.52000e+01 2.50383e+01
2.99922e-02 1.54000e+01 2.50383e+01
2.99922e-02 1.56000e+01 2.50382e+01
2.99922e-02 1.58000e+01 2.50381e+01
2.99922e-02 1.60000e+01 2.50380e+01
2.99922e-02 1.62000e+01 2.50378e+01
2.99922e-02 1.64000e+01 2.50374e+01
2.99922e-02 1.66000e+01 2.50369e+01
2.99922e-02 1.68000e+01 2.50355e+01
2.99922e-02 1.70000e+01 2.50343e+01
2.99922e-02 1.72000e+01 2.50316e+01
2.99922e-02 1.74000e+01 2.50286e+01
2.99922e-02 1.76000e+01 2.50241e+01
2.99922e-02 1.78000e+01 2.50169e+01
2.99922e-02 1.80000e+01 2.50084e+01
2.99922e-02 1.82000e+01 2.49906e+01
2.99922e-02 1.84000e+01 2.49675e+01
2.99922e-02 1.86000e+01 2.49359e+01
2.99922e-02 1.88000e+01 2.48986e+01
2.99922e-02 1.90000e+01 2.48368e+01
2.99922e-02 1.92000e+01 2.47656e+01
2.99922e-02 1.94000e+01 2.46359e+01
2.99922e-02 1.96000e+01 2.44740e+01
2.99922e-02 1.98000e+01 2.42405e+01
2.99922e-02 2.00000e+01 2.39087e+01
6.00175e-02 1.20000e+01 2.53273e+01
6.00175e-02 1.22000e+01 2.53273e+01
