# log10(mAp[MeV]), log10(r[cm]), log10(dQ/dr[erg/cm/MeV])
0.00000e+00 1.20000e+01 -3.00000e+02
0.00000e+00 1.22000e+01 -3.00000e+02
0.00000e+00 1.24000e+01 -3.00000e+02
0.00000e+00 1.26000e+01 -3.00000e+02
0.00000e+00 1.28000e+01 -3.00000e+02
0.00000e+00 1.30000e+01 -3.00000e+02
0.00000e+00 1.32000e+01 -3.00000e+02
0.00000e+00 1.34000e+01 -3.00000e+02
0.00000e+00 1.36000e+01 -3.00000e+02
0.00000e+00 1.38000e+01 -3.00000e+02
0.00000e+00 1.40000e+01 -3.00000e+02
0.00000e+00 1.42000e+01 -3.00000e+02
0.00000e+00 1.44000e+01 -3.00000e+02
0.00000e+00 1.46000e+01 -3.00000e+02
0.00000e+00 1.48000e+01 -3.00000e+02
0.00000e+00 1.50000e+01 -3.00000e+02
0.00000e+00 1.52000e+01 -3.00000e+02
0.00000e+00 1.54000e+01 -3.00000e+02
0.00000e+00 1.56000e+01 -3.00000e+02
0.00000e+00 1.58000e+01 -3.00000e+02
0.00000e+00 1.60000e+01 -3.00000e+02
0.00000e+00 1.62000e+01 -3.00000e+02
0.00000e+00 1.64000e+01 -3.00000e+02
0.00000e+00 1.66000e+01 -3.00000e+02
0.00000e+00 1.68000e+01 -3.00000e+02
0.00000e+00 1.70000e+01 -3.00000e+02
0.00000e+00 1.72000e+01 -3.00000e+02
0.00000e+00 1.74000e+01 -3.00000e+02
0.00000e+00 1.76000e+01 -3.00000e+02
0.00000e+00 1.78000e+01 -3.00000e+02
0.00000e+00 1.80000e+01 -3.00000e+02
0.00000e+00 1.82000e+01 -3.00000e+02
0.00000e+00 1.84000e+01 -3.00000e+02
0.00000e+00 1.86000e+01 -3.00000e+02
0.00000e+00 1.88000e+01 -3.00000e+02
0.00000e+00 1.90000e+01 -3.00000e+02
0.00000e+00 1.92000e+01 -3.00000e+02
0.00000e+00 1.94000e+01 -3.00000e+02
0.00000e+00 1.96000e+01 -3.00000e+02
0.00000e+00 1.98000e+01 -3.00000e+02
0.00000e+00 2.00000e+01 -3.00000e+02
2.99922e-02 1.20000e+01 3.30472e+01
2.99922e-02 1.22000e+01 3.30469e+01
2.99922e-02 1.24000e+01 3.30466e+01
2.99922e-02 1.26000e+01 3.30458e+01
2.99922e-02 1.28000e+01 3.30448e+01
2.99922e-02 1.30000e+01 3.30434e+01
2.99922e-02 1.32000e+01 3.30415e+01
2.99922e-02 1.34000e+01 3.30383e+01
2.99922e-02 1.36000e+01 3.30336e+01
2.99922e-02 1.38000e+01 3.30226e+01
2.99922e-02 1.40000e+01 3.30116e+01
2.99922e-02 1.42000e+01 3.29979e+01
2.99922e-02 1.44000e+01 3.29735e+01
2.99922e-02 1.46000e+01 3.29403e+01
2.99922e-02 1.48000e+01 3.29165e+01
2.99922e-02 1.50000e+01 3.28460e+01
2.99922e-02 1.52000e+01 3.27394e+01
2.99922e-02 1.54000e+01 3.26146e+01
2.99922e-02 1.56000e+01 3.24336e+01
2.99922e-02 1.58000e+01 3.21703e+01
2.99922e-02 1.60000e+01 3.17874e+01
2.99922e-02 1.62000e+01 3.12237e+01
2.99922e-02 1.64000e+01 3.03965e+01
2.99922e-02 1.66000e+01 2.92139e+01
2.99922e-02 1.68000e+01 2.78143e+01
2.99922e-02 1.70000e+01 2.67869e+01
2.99922e-02 1.72000e+01 2.57889e+01
2.99922e-02 1.74000e+01 2.45782e+01
2.99922e-02 1.76000e+01 2.30617e+01
2.99922e-02 1.78000e+01 2.11236e+01
2.99922e-02 1.80000e+01 1.85602e+01
2.99922e-02 1.82000e+01 1.49676e+01
2.99922e-02 1.84000e+01 9.63946e+00
2.99922e-02 1.86000e+01 1.46357e+00
2.99922e-02 1.88000e+01 -1.12441e+01
2.99922e-02 1.90000e+01 -3.12658e+01
2.99922e-02 1.92000e+01 -6.28300e+01
2.99922e-02 1.94000e+01 -3.00000e+02
2.99922e-02 1.96000e+01 -3.00000e+02
2.99922e-02 1.98000e+01 -3.00000e+02
2.99922e-02 2.00000e+01 -3.00000e+02
6.00175e-02 1.20000e+01 3.33251e+01
6.00175e-02 1.22000e+01 3.33247e+01
